SNR_dB,QPSK,QAM16,QAM64,QAM256
0,0.497395833333333,0.499763257575758,0.509351325757576,0.498697916666667
2,0.505089962121212,0.497159090909091,0.498697916666667,0.496803977272727
4,0.505563446969697,0.491595643939394,0.497869318181818,0.500591856060606
6,0.508996212121212,0.498697916666667,0.487097537878788,0.500355113636364
8,0.485913825757576,0.504616477272727,0.494791666666667,0.497750946969697
10,0.506036931818182,0.504142992424242,0.497277462121212,0.502130681818182
12,0.507220643939394,0.495265151515151,0.499644886363636,0.498697916666667
14,0.488636363636364,0.501420454545455,0.506392045454545,0.494199810606061
16,0.505326704545455,0.502840909090909,0.494199810606061,0.489583333333333
18,0.49704071969697,0.507575757575758,0.505563446969697,0.503551136363636
20,0.499644886363636,0.499289772727273,0.500473484848485,0.501302083333333
